"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T","CategoryGrid_soldOut_btn__u0X7H"
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/wahdat-protein-omega-3-eggs-dozen(12)/12620921","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620921-0-M.jpg&w=3840&q=75","Wahdat Protein Omega 3 Eggs Dozen(12)","Rs. 419",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/sb-packed-eggs-90/12622647","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622647-0-M.jpg&w=3840&q=75","SB Packed Eggs 90","Rs. 2,225",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/ok-eggs-white-open-x12/57230379","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1708157456191.jpg&w=3840&q=75","Ok Eggs White Open X12","Rs. 336",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/ok-eggs-per-dozen-(12)/12621038","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621038-0-M.jpg&w=3840&q=75","OK Eggs per dozen (12)","Rs. 324",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/ok-white-eggs-30/12620325","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620325-0-M.jpg&w=3840&q=75","Ok White Eggs 30","Rs. 810",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/menu-open-eggs-per-dozen/12641740","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12641740-0-M.jpg&w=3840&q=75","Menu Open Eggs per Dozen","Rs. 286",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/sb-packed-eggs-30/12620611","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620611-0-M.jpg&w=3840&q=75","SB Packed Eggs 30","Rs. 840",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/wahdat-protein-white-eggs-12/12620543","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620543-0-M.jpg&w=3840&q=75","Wahdat Protein White Eggs 12","Rs. 372",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/white-eggs-loose-x12/30899023","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1707731272172.jpg&w=3840&q=75","White Eggs Loose x12","Rs. 286",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/sb-packed-eggs-12/12620709","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12620709-0-M.jpg&w=3840&q=75","SB Packed Eggs 12","Rs. 360",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/sb-omega-gold-eggs-30-/12632642","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12632642-0-M.jpg&w=3840&q=75","SB Omega Gold Eggs 30","Rs. 930",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/sb-omega-gold-eggs-12/12627257","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12627257-0-M.jpg&w=3840&q=75","SB Omega Gold Eggs 12","Rs. 384",""
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/menu-eggs-12/12625075","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625075-0-M.jpg&w=3840&q=75","Menu Eggs 12","Rs. 348","Sold Out"
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/wahdat-white-eggs-90/12623078","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12623078-0-M.jpg&w=3840&q=75","Wahdat White Eggs 90","Rs. 2,520","Sold Out"
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/eggbox-vita-white-eggs-x12/72078350","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1706078705447.jpg&w=3840&q=75","Eggbox Vita White Eggs x12","Rs. 421","Sold Out"
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/eggbox-omega-max-eggs-x12/52179872","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1706078614434.jpg&w=3840&q=75","Eggbox Omega Max Eggs x12","Rs. 471","Sold Out"
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/eggbox-simply-eggs-x12/12257397","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1706077332121.jpg&w=3840&q=75","Eggbox Simply Eggs x12","Rs. 449","Sold Out"
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/eggbox-fem-folic-eggs-x12/72325504","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1706077123574.jpg&w=3840&q=75","Eggbox Fem Folic Eggs x12","Rs. 415","Sold Out"
"https://www.metro-online.pk/detail/dairy/eggs/plain-eggs/eggbox-super-kid-eggs-x12/82389426","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1706076917128.jpg&w=3840&q=75","Eggbox Super Kid Eggs x12","Rs. 415","Sold Out"