"CategoryGrid_productImg_container__Ga1ll href","sc-kDvujY src 2","CategoryGrid_product_name__3nYsN","CategoryGrid_product_price__Svf8T"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/popcorn-popnosh-movie-theater-38g/88779338","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1728388911391.jpg&w=3840&q=75","Popcorn Popnosh movie theater 38G","Rs. 150"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-english-butter-80g/67448591","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1726467566483.jpg&w=3840&q=75","Kernelpop English Butter 80G","Rs. 110"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-butter-popcorn-3in1-80gm/12621291","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621291-0-M.jpg&w=3840&q=75","KernelPop Butter Popcorn 3in1 80GM","Rs. 486"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-jalapeno-80g/67269237","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1726467440036.jpg&w=3840&q=75","Kernelpop Jalapeno 80G","Rs. 110"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop--salt-&-pepper-80g/66460959","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1726466739553.jpg&w=3840&q=75","Kernelpop  Salt & Pepper 80G","Rs. 110"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/popnosh-popcorn-caramel-crunch/89165642","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1728389292511.jpg&w=3840&q=75","Popnosh Popcorn Caramel Crunch","Rs. 50"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/popnosh-cheddar-cheese-40gm/88922543","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1728389035624.jpg&w=3840&q=75","Popnosh Cheddar Cheese 40Gm","Rs. 50"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-natural-popcorn-3in1-80gm/12621253","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621253-0-M.jpg&w=3840&q=75","KernelPop Natural Popcorn 3in1 80GM","Rs. 486"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/natural-popcorn-200gm-/12622834","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1694000288814.jpg&w=3840&q=75","Natural Popcorn 200GM","Rs. 200"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/korneez-plain-salted-popcorn-large/12637009","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637009-0-M.jpg&w=3840&q=75","Korneez Plain Salted Popcorn Large","Rs. 79"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/korneez-caramel-peanut-popcorn/12637010","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637010-0-M.jpg&w=3840&q=75","Korneez Caramel Peanut Popcorn","Rs. 79"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpops-cheese-90-gm/12622252","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622252-0-M.jpg&w=3840&q=75","Kernelpops Cheese 90 GM","Rs. 169"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpops-cheese-popcorn-3in1-80gm/12622036","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12622036-0-M.jpg&w=3840&q=75","KernelPops Cheese Popcorn 3in1 80GM","Rs. 486"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpops-natural-popcorn-100gm-pack/12621340","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621340-0-M.jpg&w=3840&q=75","Kernelpops Natural Popcorn 100GM Pack","Rs. 169"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-popcorn-butter-80-gm/12625496","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625496-0-M.jpg&w=3840&q=75","Kernelpop Popcorn Butter 80 GM","Rs. 108"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-popcorn-caramel-coat/71776547","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1694000044620.jpg&w=3840&q=75","Kernelpop Popcorn Caramel Coat","Rs. 119"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-natural-popcorn-80gm/12632499","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12632499-0-M.jpg&w=3840&q=75","KernelPop Natural Popcorn 80GM","Rs. 108"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernelpop-butter-popcorn-100gm/12633070","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12633070-0-M.jpg&w=3840&q=75","KernelPop Butter Popcorn 100GM","Rs. 169"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/kernel-popcorn-cheese-80g/12636063","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1726466432522.jpg&w=3840&q=75","Kernel Popcorn Cheese 80g","Rs. 108"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/korneez-champs-popcorn-75gm/77616993","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1726477773342.jpg&w=3840&q=75","Korneez champs popcorn 75gm","Rs. 109"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/popnosh-popcorn-caramal-68g/88631451","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1728388768817.jpg&w=3840&q=75","Popnosh Popcorn Caramal 68G","Rs. 150"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/popnosh-popcorn-spicy-jalapeno/89049282","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1728389159320.jpg&w=3840&q=75","Popnosh Popcorn Spicy Jalapeno","Rs. 50"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/korneez-toffee-popcorn-premium/12637011","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637011-0-M.jpg&w=3840&q=75","Korneez Toffee Popcorn Premium","Rs. 109"
"https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/popcorn/korneez-plain-salted-popcorn/12637012","https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12637012-0-M.jpg&w=3840&q=75","Korneez Plain Salted Popcorn","Rs. 49"